model_id,hf_repo,final_policy,access_state,byot_runtime_state,token_present,next_command
sam3-base,facebook/sam3,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3 first, then: visionservex model pull sam3-base --accept-upstream-license"
sam3-image,facebook/sam3,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3 first, then: visionservex model pull sam3-image --accept-upstream-license"
sam3-video,facebook/sam3,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3 first, then: visionservex model pull sam3-video --accept-upstream-license"
sam3-text-prompt,facebook/sam3,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3 first, then: visionservex model pull sam3-text-prompt --accept-upstream-license"
sam3-visual-prompt,facebook/sam3,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3 first, then: visionservex model pull sam3-visual-prompt --accept-upstream-license"
sam3-exemplar-prompt,facebook/sam3,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3 first, then: visionservex model pull sam3-exemplar-prompt --accept-upstream-license"
sam3-open-vocabulary,facebook/sam3,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3 first, then: visionservex model pull sam3-open-vocabulary --accept-upstream-license"
sam3-tracking,facebook/sam3,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3 first, then: visionservex model pull sam3-tracking --accept-upstream-license"
sam3.1-base,facebook/sam3.1,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3.1 first, then: visionservex model pull sam3.1-base --accept-upstream-license"
sam3.1-image,facebook/sam3.1,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3.1 first, then: visionservex model pull sam3.1-image --accept-upstream-license"
sam3.1-video,facebook/sam3.1,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3.1 first, then: visionservex model pull sam3.1-video --accept-upstream-license"
sam3.1-open-vocabulary,facebook/sam3.1,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3.1 first, then: visionservex model pull sam3.1-open-vocabulary --accept-upstream-license"
sam3.1-text-prompt,facebook/sam3.1,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3.1 first, then: visionservex model pull sam3.1-text-prompt --accept-upstream-license"
sam3.1-visual-prompt,facebook/sam3.1,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3.1 first, then: visionservex model pull sam3.1-visual-prompt --accept-upstream-license"
sam3.1-real-time-tracking,facebook/sam3.1,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/sam3.1 first, then: visionservex model pull sam3.1-real-time-tracking --accept-upstream-license"
dinov3-vits16,facebook/dinov3-vits16-pretrain-lvd1689m,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/dinov3-vits16-pretrain-lvd1689m first, then: visionservex model pull dinov3-vits16 --accept-upstream-license"
dinov3-vitb16,facebook/dinov3-vitb16-pretrain-lvd1689m,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/dinov3-vitb16-pretrain-lvd1689m first, then: visionservex model pull dinov3-vitb16 --accept-upstream-license"
dinov3-vitl16,facebook/dinov3-vitl16-pretrain-lvd1689m,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/dinov3-vitl16-pretrain-lvd1689m first, then: visionservex model pull dinov3-vitl16 --accept-upstream-license"
dinov3-vit7b16,facebook/dinov3-vit7b16-pretrain-lvd1689m,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/dinov3-vit7b16-pretrain-lvd1689m first, then: visionservex model pull dinov3-vit7b16 --accept-upstream-license"
dinov3-convnext-tiny,facebook/dinov3-convnext-tiny-pretrain-lvd1689m,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/dinov3-convnext-tiny-pretrain-lvd1689m first, then: visionservex model pull dinov3-convnext-tiny --accept-upstream-license"
dinov3-convnext-small,facebook/dinov3-convnext-small-pretrain-lvd1689m,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/dinov3-convnext-small-pretrain-lvd1689m first, then: visionservex model pull dinov3-convnext-small --accept-upstream-license"
dinov3-convnext-base,facebook/dinov3-convnext-base-pretrain-lvd1689m,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/dinov3-convnext-base-pretrain-lvd1689m first, then: visionservex model pull dinov3-convnext-base --accept-upstream-license"
dinov3-convnext-large,facebook/dinov3-convnext-large-pretrain-lvd1689m,byot_license_required,auth_required_license_pending,auth_required,True,"Accept the license at https://huggingface.co/facebook/dinov3-convnext-large-pretrain-lvd1689m first, then: visionservex model pull dinov3-convnext-large --accept-upstream-license"
