family,total,pass,fail,blocked,excluded,pass_pct,blocked_pct,excluded_pct
agriclip,1,0,0,0,0,0.0,0.0,0.0
anomalib,1,0,0,1,0,0.0,100.0,0.0
bytetrack,1,0,0,0,1,0.0,0.0,100.0
clip,2,2,0,0,0,100.0,0.0,0.0
co-dino,1,0,0,0,1,0.0,0.0,100.0
codetr,1,0,0,1,0,0.0,100.0,0.0
convnextv2,3,3,0,0,0,100.0,0.0,0.0
deim,2,2,0,0,0,100.0,0.0,0.0
deimv2,8,7,0,0,1,87.5,0.0,12.5
dfine,14,14,0,0,0,100.0,0.0,0.0
dino-x,1,0,0,0,1,0.0,0.0,100.0
dinov2,4,4,0,0,0,100.0,0.0,0.0
dinov3,1,0,0,0,1,0.0,0.0,100.0
efficientsam,1,1,0,0,0,100.0,0.0,0.0
florence-2,2,2,0,0,0,100.0,0.0,0.0
grounding-dino,2,0,0,0,2,0.0,0.0,100.0
grounding_dino,8,5,0,0,2,62.5,0.0,25.0
hq-sam,1,0,0,0,1,0.0,0.0,100.0
internimage,5,0,0,5,0,0.0,100.0,0.0
libreyolo,48,30,0,18,0,62.5,37.5,0.0
maskdino,3,0,0,2,1,0.0,66.67,33.33
maxvit,1,1,0,0,0,100.0,0.0,0.0
medsam,1,0,0,0,1,0.0,0.0,100.0
medsam2,1,0,0,0,1,0.0,0.0,100.0
mobilesam,1,1,0,0,0,100.0,0.0,0.0
nnunet,1,0,0,1,0,0.0,100.0,0.0
oneformer,3,2,0,1,0,66.67,33.33,0.0
osnet,1,0,0,1,0,0.0,100.0,0.0
owlv2,2,2,0,0,0,100.0,0.0,0.0
owlvit,2,2,0,0,0,100.0,0.0,0.0
prithvi,1,0,0,0,1,0.0,0.0,100.0
rfdetr,7,6,0,0,1,85.71,0.0,14.29
rfdetr_seg,2,2,0,0,0,100.0,0.0,0.0
rtdetrv4,4,0,0,4,0,0.0,100.0,0.0
rtmdet,8,0,0,8,0,0.0,100.0,0.0
rtmpose,6,6,0,0,0,100.0,0.0,0.0
sam,3,3,0,0,0,100.0,0.0,0.0
sam2,4,4,0,0,0,100.0,0.0,0.0
sam2.1,4,4,0,0,0,100.0,0.0,0.0
sam3,1,0,0,0,1,0.0,0.0,100.0
seem,2,0,0,2,0,0.0,100.0,0.0
siglip,1,1,0,0,0,100.0,0.0,0.0
siglip2,3,3,0,0,0,100.0,0.0,0.0
swinv2,4,4,0,0,0,100.0,0.0,0.0
