family,size,size_rank,model_id,mAP50_95
ultralytics,?,-10.0,yolo26x.pt,0.4894
dfine,x,4.0,dfine-x-o365-coco,0.4576
ultralytics,?,-10.0,yolo11x.pt,0.4487
ultralytics,?,-10.0,yolov10b.pt,0.4393
ultralytics,?,-10.0,yolov8x.pt,0.4369
dfine,l,3.0,dfine-l-o365-coco,0.4309
dfine,s,1.0,libreyolo-dfine-s,0.4
rfdetr,large,3.0,rfdetr-large,0.3647
rfdetr,base,2.5,rfdetr-base,0.3351
deimv2,s,1.0,deimv2-s,0.3266
dfine,n,0.0,libreyolo-dfine-n,0.318
yolox,s,1.0,libreyolo-yolox-s,0.2959
yolox,n,0.0,libreyolo-yolox-n,0.1394
